id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
583680,HackerHome - Santa Clara: shared room,43806,Vic,,Santa Clara,37.35586,-121.98273,Shared room,50,5,46,2019-08-25,0.46,53,365
583689,HackerHome - Santa Clara: private,43806,Vic,,Santa Clara,37.36004,-121.98076,Private room,55,10,30,2020-09-05,0.30,53,365
598609,"Walk Dwtwn, organic home comfortable queen bed",984791,Carol,,Mountain View,37.39519,-122.09197,Private room,80,1,138,2019-08-22,1.37,4,290
600955,Walk Dwntwn queen bed Organic Home,984791,Carol,,Mountain View,37.3938,-122.0916,Private room,85,1,395,2020-10-19,3.93,4,348
616725,HackerHome - Santa Clara: shared room,43806,Vic,,Santa Clara,37.35957,-121.98426,Shared room,40,5,16,2019-07-13,0.16,53,358
616951,HackerHome - Santa Clara: private room,43806,Vic,,Santa Clara,37.35988,-121.98114,Private room,70,3,27,2018-09-15,0.27,53,365
656780,"Santa Clara, CA   Stays - Private Bed & Bath",1601491,Larry & Maddi,,Santa Clara,37.39308,-121.96684,Private room,60,1,334,2020-10-04,3.38,1,365
661548,HackerHome - Santa Clara: private room,43806,Vic,,Santa Clara,37.35482,-121.98126,Private room,65,4,17,2020-02-10,0.17,53,365
698371,Ideally located Executive Palo Alto Home!,3579683,Mona,,Palo Alto,37.44949,-122.1414,Entire home/apt,1000,4,8,2019-06-17,0.08,1,178
698979,"Single Family House, 4 Bedrooms, 2 Full Bathrooms",3583814,Emily,,San Jose,37.41118,-121.85135,Private room,133,365,20,2019-08-06,0.23,1,365
706286,Cozy Sunnyvale Condo with in-unit washer & dryer,3272580,Peilin,,Sunnyvale,37.35179,-122.01178,Entire home/apt,94,60,6,2020-05-09,0.16,1,85
712426,"300 Meters from old Apple HQ, 2  Miles from New",164175646,David,,Cupertino,37.32775,-122.02486,Private room,65,2,86,2019-08-21,0.88,2,365
725538,Downstairs apartment in downtown SJ,3752861,Loan,,San Jose,37.34723,-121.87177,Entire home/apt,99,1,172,2020-03-23,1.76,1,155
727926,Private Room with bath in Palo Alto,3773919,Monmi & Bhaskar,,Palo Alto,37.41701,-122.11548,Private room,89,7,102,2019-10-30,1.04,1,364
739565,Mason Guesthome Best Location Mt Vw,3868380,Stacey And George,,Mountain View,37.39416,-122.07108,Private room,80,1,44,2020-03-16,0.46,2,207
743215,Little Paradise 2BR Suite Sauna Garden Terrace,73185,Helen,,Saratoga,37.26458,-122.03686,Entire home/apt,225,5,111,2020-10-14,1.19,1,357
743286,Mozart  Luxurious Master Room,3736812,Celeste,,San Jose,37.27139,-121.81165,Private room,58,30,39,2018-09-30,0.41,3,365
745925,bedroom near downtown Palo Alto,3911935,Davis,,Palo Alto,37.44633,-122.15487,Private room,160,2,175,2020-03-06,1.80,1,365
764019,Vintage comfort in Palo Alto,4027695,Kirsten,,Palo Alto,37.42033,-122.1326,Private room,89,1,83,2020-09-15,0.86,2,238
765427,Downtown Mtn View Private Home with Hot Tub,3967231,Anne And Mike,,Mountain View,37.39212,-122.07555,Entire home/apt,795,1,25,2016-05-19,0.26,7,365
786226,Charming 1BR 5min. to Gbus,42458,Emey,,Mountain View,37.38493,-122.08396,Entire home/apt,115,31,6,2020-01-02,0.07,14,336
791279,Palo Alto Cottage,4168867,Sruthi,,Unincorporated Areas,37.43136,-122.15413,Entire home/apt,200,2,233,2020-03-04,2.50,3,365
796648,Private Room - Near Apple New Campus,1639312,Rodrigo,,Sunnyvale,37.3615,-122.01295,Private room,42,14,11,2020-08-22,0.13,2,55
810306,"Silicon Valley - Private,Quiet:)",4261198,Rob,,San Jose,37.3283,-121.94434,Private room,78,2,43,2020-08-29,0.45,1,364
839590,Petite Maison,4205096,Marcus,,San Jose,37.30739,-121.98124,Private room,150,1,0,,,1,365
842171,"Executive Downtwn Contemporary 2BR Groundfloor Apt",984791,Carol,,Mountain View,37.39441,-122.08887,Entire home/apt,155,2,191,2020-10-08,2.04,4,311
877625,2BR / 1 Bath - Near Castro/DT Mtn View and 85/101,42458,Emey,,Mountain View,37.37441,-122.06322,Entire home/apt,125,31,7,2019-01-14,0.08,14,81
881146,Modern Downtown Los Gatos Apartment,869903,Danielle,,Los Gatos,37.22075,-121.97667,Entire home/apt,150,30,17,2019-07-24,0.18,1,81
890904,HackerHome - Sunnyvale Private Room,43806,Vic,,Sunnyvale,37.38727,-122.02593,Private room,99,30,13,2018-08-26,0.14,53,365
890914,HackerHome - Santa Clara: bunk 1a,43806,Vic,,Sunnyvale,37.38732,-122.02578,Shared room,50,5,18,2016-11-05,0.19,53,365
913205,Best for International visitor,2350552,Shoukri,,Morgan Hill,37.1338,-121.66622,Private room,68,3,1,2014-03-14,0.01,1,365
917723,Guest Bedroom in Modern Townhouse,1523067,Layla,,Mountain View,37.3912,-122.05643,Private room,100,1,57,2019-09-13,0.61,1,90
922716,2nd Floor Private Bedroom I,4961460,Peter,,Palo Alto,37.40668,-122.1232,Private room,85,3,70,2020-01-29,0.87,3,365
928099,Spanish Style Charmer Convenient To All Freeways,4934521,Abbi,,Mountain View,37.37344,-122.06639,Private room,99,1,23,2019-06-03,0.25,1,0
931674,HackerHome - Downtown Mountain View: Castro Street,43806,Vic,,Mountain View,37.39416,-122.08212,Shared room,35,30,40,2019-10-16,0.43,53,365
931680,HackerHome - Sunnyvale: bunk 2,43806,Vic,,Sunnyvale,37.38851,-122.02434,Shared room,35,30,18,2019-08-04,0.19,53,365
937489,HackerHome - Sunnyvale: female only room,43806,Vic,,Sunnyvale,37.38638,-122.02571,Shared room,35,30,22,2020-01-26,0.24,53,365
943009,Luxurious Single Family House,5101079,Kayvan,,San Jose,37.42034,-121.85687,Entire home/apt,485,14,4,2018-11-03,0.08,1,365
952133,Handel Queen Bedroom in Happy Home!,3736812,Celeste,,San Jose,37.27167,-121.8097,Private room,55,31,24,2015-07-02,0.26,3,358
969522,Palo Alto/Stanford Garden Hideaway,771434,Cecile,,Palo Alto,37.42493,-122.14095,Entire home/apt,220,4,28,2018-07-27,0.31,1,0
976347,Downtown Private Home with Backyard,3967231,Anne And Mike,,Mountain View,37.39079,-122.07542,Entire home/apt,275,1,48,2020-07-19,0.52,7,357
978835,Private Bedroom+Bathroom+Entrance,1768448,Dan,,Sunnyvale,37.38622,-122.02094,Private room,50,1,216,2020-09-12,2.35,1,364
995505,Bach Comfy Room in a Happy Home,3736812,Celeste,,San Jose,37.27142,-121.8117,Private room,40,30,45,2020-07-08,0.49,3,365
998140,Room&Private Bath in Silicon Valley,1989424,BJ And AN,,Santa Clara,37.36985,-121.9795,Private room,62,4,26,2019-11-25,0.29,3,0
1001567,Santana Row Modern Loft in Silicon Valley,1269205,Ginger & Ray,,San Jose,37.32,-121.94666,Entire home/apt,209,28,69,2020-10-21,0.77,3,355
1006392,Large furnished 1BR Near Apple/280,42458,Emey,,Santa Clara,37.34233,-121.98682,Entire home/apt,105,7,8,2020-10-10,0.09,14,311
1010153,"AC, Gar, Gas Stove, HW fl, near Costco + Caltain",42458,Emey,,Sunnyvale,37.35877,-122.00246,Entire home/apt,92,7,12,2018-04-28,0.16,14,328
1012398,"Amazing 3800 sq.ft home, built 2012",929386,Peter,,San Jose,37.30993,-121.90221,Entire home/apt,1286,7,0,,,2,365
1013938,Penthouse with View and location!,5522692,Elaine,,Cupertino,37.32311,-122.02821,Entire home/apt,199,30,51,2020-04-25,0.56,1,296
1019524,"Cozy Cottage, Private Entrance",5612983,Tom,,Los Altos Hills,37.39105,-122.12906,Entire home/apt,119,2,180,2020-05-21,1.96,2,128
1024086,Cozy Redwood Studio in Foothills,5637736,Don & Christine,,Unincorporated Areas,37.19436,-122.02255,Entire home/apt,88,21,230,2020-03-04,2.54,1,50
1079815,Room in Penthouse Condominium,5938185,Jean-Pierre,,Palo Alto,37.44569,-122.1567,Private room,90,30,47,2017-07-17,0.53,1,238
1095202,Private room in super convenient Mtn View location,1028853,Ethan,,Mountain View,37.39207,-122.06183,Private room,43,31,9,2019-08-23,0.10,2,364
1108171,2 BR/ 2 levels TH in Silicon Valley,4756619,Christine,,Milpitas,37.42513,-121.91158,Entire home/apt,139,30,103,2020-08-30,1.19,1,273
1117786,"Beautiful house , Perfect Location",6135407,Esther,,San Jose,37.33924,-121.91996,Private room,99,1,162,2019-12-07,1.79,1,297
1118969,HackerHome - San Jose Dwtn: bunk 3,43806,Vic,,San Jose,37.34628,-121.88558,Shared room,26,2,24,2019-06-12,0.27,53,365
1121712,HackerHome - San Jose Dwtn: bunk 3,43806,Vic,,San Jose,37.34494,-121.88396,Shared room,24,2,37,2020-03-09,0.41,53,365
1122250,HackerHome - San Jose Dwtn: priv rm,43806,Vic,,San Jose,37.34633,-121.88504,Private room,50,2,16,2017-08-20,0.18,53,365
1122273,HackerHome - Sunnyvale Plug & Play4,43806,Vic,,Sunnyvale,37.38711,-122.02507,Shared room,29,30,19,2019-11-01,0.21,53,365
1122326,HackerHome - Sunnyvale: bunk 3,43806,Vic,,Sunnyvale,37.38789,-122.02632,Shared room,30,30,20,2018-05-12,0.22,53,365
1133453,Serene House in 1.5 Acre Resort like setting.,1879455,Joseph,,Saratoga,37.24517,-122.0194,Entire home/apt,229,30,25,2020-10-03,0.39,3,61
1141718,"Caribbean Blue - Quiet, Clean, Near Airport & Town",6260726,Pamela,,San Jose,37.34015,-121.79575,Private room,29,1,152,2020-09-26,1.74,4,90
1148601,HackerHome - Sunnyvale: bunk 1,43806,Vic,,Sunnyvale,37.38682,-122.02521,Shared room,35,30,14,2019-01-01,0.15,53,365
1154810,"Hacienda Ranch in Milpitas, CA",5391161,Kim,,Milpitas,37.44428,-121.87438,Private room,122,1,0,,,1,365
1164405,"Ultra Spacious, Contemporary Home in Palo Alto.",4430766,Jim,,Palo Alto,37.41692,-122.12199,Entire home/apt,750,7,0,,,1,358
1212586,Bright and Cheerful 3BR 2BA with Office,3160504,Grace,,Mountain View,37.39658,-122.08906,Entire home/apt,219,31,2,2020-09-28,0.03,3,201
1216215,"Comfy, Cozy & Affordable 3-San Jose",2538509,Barbara,,San Jose,37.40174,-121.82812,Private room,39,2,61,2020-10-10,0.68,2,308
